"date","symbol","company","sector","adjusted","simple_return","log_return"
2019-01-02,"AAPL","Apple Inc.","Information Technology",38.221363,,
2019-01-03,"AAPL","Apple Inc.","Information Technology",34.414234,-0.0996073583247148,-0.104924342267177
2019-01-04,"AAPL","Apple Inc.","Information Technology",35.883354,0.0426893128000465,0.0418032532164765
2019-01-07,"AAPL","Apple Inc.","Information Technology",35.803486,-0.00222576741293463,-0.00222824811488387
2019-01-08,"AAPL","Apple Inc.","Information Technology",36.486015,0.0190631996001731,0.0188837735147751
2019-01-09,"AAPL","Apple Inc.","Information Technology",37.105606,0.0169816024030029,0.0168390268369185
2019-01-10,"AAPL","Apple Inc.","Information Technology",37.224205,0.00319625557388811,0.00319115840738426
2019-01-11,"AAPL","Apple Inc.","Information Technology",36.858738,-0.00981799342658884,-0.00986650772727904
2019-01-14,"AAPL","Apple Inc.","Information Technology",36.304485,-0.0150372212960737,-0.0151514266418786
2019-01-15,"AAPL","Apple Inc.","Information Technology",37.047523,0.0204668376372781,0.0202602065489397
2019-01-16,"AAPL","Apple Inc.","Information Technology",37.500126,0.012216822161093,0.0121427990640997
2019-01-17,"AAPL","Apple Inc.","Information Technology",37.722778,0.0059373667171144,0.00591981001479214
2019-01-18,"AAPL","Apple Inc.","Information Technology",37.955143,0.00615980615213443,0.00614091209567125
2019-01-22,"AAPL","Apple Inc.","Information Technology",37.103188,-0.0224463651737525,-0.0227021192404209
2019-01-23,"AAPL","Apple Inc.","Information Technology",37.253246,0.0040443424969303,0.00403618612785195
2019-01-24,"AAPL","Apple Inc.","Information Technology",36.95797,-0.00792618178829287,-0.00795776094594691
2019-01-25,"AAPL","Apple Inc.","Information Technology",38.18264,0.0331368308378408,0.0325996410342655
2019-01-28,"AAPL","Apple Inc.","Information Technology",37.829281,-0.00925444128535894,-0.00929752967244424
2019-01-29,"AAPL","Apple Inc.","Information Technology",37.437199,-0.010364511025203,-0.0104185966079204
2019-01-30,"AAPL","Apple Inc.","Information Technology",39.995445,0.0683343323842149,0.0661007368531172
2019-01-31,"AAPL","Apple Inc.","Information Technology",40.283466,0.00720134505316794,0.00717553918512293
2019-02-01,"AAPL","Apple Inc.","Information Technology",40.302822,0.000480494900811214,0.000480379500101158
2019-02-04,"AAPL","Apple Inc.","Information Technology",41.447632,0.0284052069604456,0.0280092595632961
2019-02-05,"AAPL","Apple Inc.","Information Technology",42.156773,0.0171093248463508,0.0169646086797011
2019-02-06,"AAPL","Apple Inc.","Information Technology",42.171295,0.000344476082170698,0.000344416763907507
2019-02-07,"AAPL","Apple Inc.","Information Technology",41.372597,-0.0189393757056785,-0.0191210228610612
2019-02-08,"AAPL","Apple Inc.","Information Technology",41.421211,0.0011750289690541,0.00117433916282383
2019-02-11,"AAPL","Apple Inc.","Information Technology",41.182999,-0.00575096657603751,-0.0057675670608015
2019-02-12,"AAPL","Apple Inc.","Information Technology",41.537888,0.00861736659828975,0.00858044903127686
2019-02-13,"AAPL","Apple Inc.","Information Technology",41.365303,-0.004154881442215,-0.00416353694549398
2019-02-14,"AAPL","Apple Inc.","Information Technology",41.516006,0.00364322243692981,0.00363660197706706
2019-02-15,"AAPL","Apple Inc.","Information Technology",41.423634,-0.0022249731826322,-0.00222745211318243
2019-02-19,"AAPL","Apple Inc.","Information Technology",41.5476,0.00299263941932287,0.0029881703878889
2019-02-20,"AAPL","Apple Inc.","Information Technology",41.814976,0.00643541383858511,0.00641479497627806
2019-02-21,"AAPL","Apple Inc.","Information Technology",41.579205,-0.00563843442119875,-0.00565439039864835
2019-02-22,"AAPL","Apple Inc.","Information Technology",42.043472,0.0111658460040301,0.0111039681320042
2019-02-25,"AAPL","Apple Inc.","Information Technology",42.349724,0.00728417481791229,0.00725777334761624
2019-02-26,"AAPL","Apple Inc.","Information Technology",42.374039,0.000574147779569978,0.000573983019795055
2019-02-27,"AAPL","Apple Inc.","Information Technology",42.505291,0.00309746257608335,0.00309267532189095
2019-02-28,"AAPL","Apple Inc.","Information Technology",42.087208,-0.00983602253187733,-0.00988471576308125
2019-03-01,"AAPL","Apple Inc.","Information Technology",42.529602,0.0105113648783735,0.0104565045854028
2019-03-04,"AAPL","Apple Inc.","Information Technology",42.743504,0.00502948511015938,0.0050168794987453
2019-03-05,"AAPL","Apple Inc.","Information Technology",42.665718,-0.00181983208489419,-0.00182148999101539
2019-03-06,"AAPL","Apple Inc.","Information Technology",42.420219,-0.00575401074933264,-0.00577062884698698
2019-03-07,"AAPL","Apple Inc.","Information Technology",41.929222,-0.0115745984243976,-0.0116421055058833
2019-03-08,"AAPL","Apple Inc.","Information Technology",42.028877,0.00237674336051355,0.00237392337338571
2019-03-11,"AAPL","Apple Inc.","Information Technology",43.484848,0.0346421580571853,0.0340556259275799
2019-03-12,"AAPL","Apple Inc.","Information Technology",43.973423,0.0112355227733577,0.0111728731183542
2019-03-13,"AAPL","Apple Inc.","Information Technology",44.167885,0.00442226205587865,0.00441251258760156
2019-03-14,"AAPL","Apple Inc.","Information Technology",44.658875,0.0111164480708099,0.0110551144844449
