"date","jpy_per_usd","twd_per_usd","twd_per_jpy","log_return_twd_per_jpy"
2020-01-02,108.43,29.99,0.276583971225676,
2020-01-03,107.94,30.03,0.278210116731518,0.00586217552791513
2020-01-06,108.36,30.06,0.277408637873754,-0.00288499769680817
2020-01-07,108.53,30.05,0.276881968119414,-0.00190033858464078
2020-01-08,109.03,30.02,0.275337063193616,-0.00559527603626764
2020-01-09,109.47,29.95,0.273590938156573,-0.00636196704203318
2020-01-10,109.5,29.97,0.273698630136986,0.000393546627023955
2020-01-13,109.93,29.88,0.271809333212044,-0.00692677139817244
2020-01-14,110.05,29.89,0.27160381644707,-0.000756392350467872
2020-01-15,109.94,29.91,0.272057485901401,0.00166894188596634
2020-01-16,110.16,29.93,0.271695715323166,-0.00133064276513406
2020-01-17,110.16,29.93,0.271695715323166,0
2020-01-20,,,,
2020-01-21,109.95,29.98,0.272669395179627,
2020-01-22,109.93,29.97,0.272628036022924,-0.000151693935882324
2020-01-23,109.39,30.04,0.274613767254776,0.00725726702643525
2020-01-24,109.31,30.03,0.274723264111243,0.00039865092526048
2020-01-27,108.95,30.1,0.276273519963286,0.00562711067470634
2020-01-28,109.17,30.1,0.275716772006962,-0.00201723890154915
2020-01-29,109.15,30.1,0.275767292716445,0.000183217296224836
2020-01-30,108.75,30.26,0.278252873563218,0.00897294963253947
2020-01-31,108.5,30.23,0.278617511520737,0.00130959741943593
2020-02-03,108.59,30.29,0.278939128833226,0.00115366699948427
2020-02-04,109.41,30.12,0.275294762818755,-0.0131511933673423
2020-02-05,109.74,30,0.273373428102788,-0.00700365941166825
2020-02-06,109.89,30.04,0.273364273364273,-3.34885942248064e-05
2020-02-07,109.81,30.1,0.2741098260632,0.00272361070810678
2020-02-10,109.77,30.08,0.274027512070693,-0.000300340762794171
2020-02-11,109.78,30.02,0.273456002914921,-0.00208776829884116
2020-02-12,110,29.98,0.272545454545455,-0.00333533620153736
2020-02-13,109.81,29.98,0.273017029414443,0.00172876618279427
2020-02-14,109.77,30.02,0.273480914639701,0.00169766544126104
2020-02-17,,,,
2020-02-18,109.8,30.11,0.274225865209472,
2020-02-19,111.17,30.11,0.270846451380768,-0.0124000321700934
2020-02-20,111.86,30.26,0.270516717325228,-0.00121816228135074
2020-02-21,111.74,30.4,0.272060139609808,0.0056892454144053
2020-02-24,110.56,30.45,0.275416063675832,0.0122597697553728
2020-02-25,110.23,30.34,0.275242674408056,-0.000629752191384059
2020-02-26,110.36,30.28,0.274374773468648,-0.00315820272499923
2020-02-27,110.15,30.23,0.274443940081707,0.000252056322851635
2020-02-28,108.12,30.18,0.279134295227525,0.0169459963884415
2020-03-02,108.02,29.88,0.276615441584892,-0.00906476683158441
2020-03-03,107.28,29.82,0.277964205816555,0.00486410526329761
2020-03-04,107.34,29.92,0.278740450903671,0.00278871599442465
2020-03-05,106.56,29.91,0.280686936936937,0.00695887949218377
2020-03-06,105.31,29.94,0.284303484949198,0.012802331749199
2020-03-09,102.52,29.97,0.292333203277409,0.0278519822337251
2020-03-10,103.71,29.91,0.288400347121782,-0.0135446497924878
2020-03-11,104.81,30.07,0.286900104951818,-0.00521552022186222
2020-03-12,105.67,30.18,0.285606132298666,-0.00452038693158818
2020-03-13,107.15,30.13,0.281194587027531,-0.0155667916641395
2020-03-16,105.64,30.19,0.285781900795153,0.0161820250671922
2020-03-17,107.41,30.21,0.281258728237594,-0.015953948501191
2020-03-18,108.45,30.37,0.280036883356385,-0.00435366600385101
2020-03-19,110.08,30.4,0.276162790697674,-0.0139308075576317
2020-03-20,111.3,30.3,0.272237196765499,-0.0143167799933179
2020-03-23,111.36,30.33,0.272359913793103,0.000450670880555615
2020-03-24,111.44,30.16,0.270638908829864,-0.00633891144617493
2020-03-25,111.43,30.29,0.271829848335278,0.00439082031197824
2020-03-26,109.45,30.19,0.275833714024669,0.0146218857696923
2020-03-27,108.16,30.21,0.279308431952663,0.0125184633540512
2020-03-30,108.06,30.24,0.279844530816213,0.00191753979148568
2020-03-31,107.53,30.25,0.281316841811587,0.00524738317900297
2020-04-01,107.05,30.29,0.282951891639421,0.0057953039290386
2020-04-02,107.85,30.2,0.280018544274455,-0.0104210584577955
2020-04-03,108.53,30.26,0.27881691698148,-0.00430047564337221
2020-04-06,109.11,30.21,0.276876546604344,-0.00698362817071296
2020-04-07,108.97,30.08,0.276039276865192,-0.00302856363872905
2020-04-08,108.7,30.11,0.277000919963201,0.0034776642736345
2020-04-09,108.38,30.01,0.276896106292674,-0.000378459052171154
2020-04-10,108.39,30.06,0.277331857182397,0.00157246118286225
2020-04-13,107.59,30.06,0.27939399572451,0.0074081272218407
2020-04-14,107.08,30.07,0.280818079940232,0.00508410062927545
2020-04-15,107.42,30.04,0.27964997207224,-0.00416833592966537
2020-04-16,107.72,30.11,0.279520980319346,-0.00046136786837625
2020-04-17,107.52,30.07,0.279668898809524,0.000529045675353945
2020-04-20,107.69,30.04,0.278948834617885,-0.00257802267045393
2020-04-21,107.69,30.1,0.279505989414059,0.00199534485889608
2020-04-22,107.81,30.1,0.279194879881273,-0.00111368921023702
2020-04-23,107.65,30.08,0.279424059451927,0.000820522067463303
2020-04-24,107.44,30.1,0.280156366344006,0.00261734426858107
2020-04-27,107.22,30.02,0.279985077410931,-0.000611591733923555
2020-04-28,106.83,29.99,0.280726387718806,0.00264417899719738
2020-04-29,106.67,29.89,0.280209993437705,-0.00184118714466663
2020-04-30,106.94,29.72,0.277912848326164,-0.00823172932948224
2020-05-01,106.76,29.72,0.278381416260772,0.00168460498426204
2020-05-04,106.82,29.82,0.27916120576671,0.00279723911173324
2020-05-05,106.52,29.84,0.280135185880586,0.00348287996486052
2020-05-06,106.07,29.9,0.281889318374658,0.00624221248943324
2020-05-07,106.36,29.9,0.281120722075968,-0.0027303128574403
2020-05-08,106.5,29.87,0.280469483568075,-0.00231926694328299
2020-05-11,107.7,29.87,0.277344475394615,-0.0112045990128631
2020-05-12,107.33,29.88,0.278393738935992,0.00377611170550796
2020-05-13,106.92,29.91,0.279741863075196,0.00483082159995485
2020-05-14,107.09,29.91,0.279297786908208,-0.00158871114206538
2020-05-15,107.27,29.94,0.279108790901464,-0.000676911846928308
2020-05-18,107.25,29.96,0.279347319347319,0.000854242458747878
2020-05-19,107.89,29.94,0.277504866067291,-0.00661741141265892
2020-05-20,107.46,29.97,0.278894472361809,0.0049950065996629
2020-05-21,107.69,29.91,0.277741665892841,-0.00414205272682944
