"date","spj","return_j","rer","rer_change","ipi","ipi_change","inr","inr_change","spf","return_f","unr","unr_change","cpi","bmj","bmj_growth","opi","opi_change","yng","mid","old","dro","dro_growth","dry","dep","dep_growth","fpi","trd","yield_10","yield_10_change"
2007-10-01,104.511756,,95.7811479,,118.9047421,,0.75,,95.14953103,,4,,97.8,84.19586791,,86.2,,13.5,65,21.5,33.07692308,,20.76923077,53.84615385,,-150.5709961,7.562250231,1.616,
2007-11-01,96.8111137,-3.323992863,91.66805519,-4.294261245,117.7091734,-1.005484461,0.75,0,91.09004548,-1.893573318,3.8,-5,97.6,84.29402689,0.116584086,94.62,9.767981439,13.5,64.9,21.5,33.12788906,0.154083205,20.80123267,53.92912173,0.154083205,-79.09170689,-10.03858245,1.497,-7.363861386
2007-12-01,97.12053177,0.138583547,92.93749012,1.384817129,118.3613018,0.55401662,0.75,0,91.88257425,0.376223526,3.7,-2.631578947,97.8,84.40036579,0.126152353,91.73,-3.054322553,13.5,64.9,21.6,33.28197227,0.465116279,20.80123267,54.08320493,0.285714286,82.16159496,-11.15082202,1.526,1.937207749
2008-01-01,87.50343126,-4.528596835,89.16018137,-4.064354159,119.1653018,0.679276065,0.75,0,85.92137556,-2.913193292,3.9,5.405405405,97.6,84.4576252,0.067842605,92.95,1.329990189,13.5,64.9,21.6,33.28197227,0,20.80123267,54.08320493,0,-259.39763,3.682846161,1.429,-6.356487549
2008-02-01,85.50639545,-1.002648433,88.52232411,-0.715405965,119.4732224,0.258397933,0.75,0,84.64894638,-0.647966445,4,2.564102564,97.4,84.52306452,0.07748184,95.35,2.582033351,13.5,64.8,21.7,33.48765432,0.6179984,20.83333333,54.32098765,0.439660933,-72.34124935,-23.45891887,1.429,0
2008-03-01,79.11562298,-3.373634678,83.22706858,-5.98183067,118.2415397,-1.030927835,0.75,0,82.16946086,-1.291111941,3.8,-5,97.9,84.5148846,-0.009677732,105.56,10.7079182,13.5,64.7,21.8,33.69397218,0.616101254,20.86553323,54.55950541,0.439089504,893.5790947,5.958549223,1.245,-12.87613716
2008-04-01,83.61765595,2.403573665,84.79816319,1.887720713,117.7283386,-0.434027778,0.75,0,85.92221848,1.939504441,3.9,2.631578947,97.8,84.33492647,-0.212930701,112.57,6.64077302,13.5,64.7,21.8,33.69397218,0,20.86553323,54.55950541,0,-194.394244,-24.35420432,1.6,28.51405622
2008-05-01,88.58059293,2.504059415,86.23577675,1.695335723,118.34418,0.523103749,0.75,0,88.26168622,1.166673845,4,2.564102564,98.6,84.49034486,0.1842871,125.39,11.3884694,13.5,64.6,21.9,33.90092879,0.614224444,20.89783282,54.79876161,0.438523404,-106.3406771,-3.639685216,1.778,11.125
2008-06-01,89.00539816,0.207776434,88.37317307,2.478549399,115.162333,-2.688638335,0.75,0,84.26326528,-2.013393584,4,0,99,84.70302265,0.251718463,133.93,6.810750459,13.5,64.6,21.9,33.90092879,0,20.89783282,54.79876161,0,267.8593848,-56.672014,1.601,-9.955005624
2008-07-01,83.06714963,-2.998703901,88.29871732,-0.084251528,115.162333,0,0.75,0,78.95064396,-2.828260773,3.9,-2.5,99.2,84.62940342,-0.086914534,133.44,-0.365862764,13.5,64.6,21.9,33.90092879,0,20.89783282,54.79876161,0,-230.8148464,54.08953214,1.537,-3.997501562
